model_name,km_driven,fuel_type,transmission,owner,engine_capacity,price,link
2013 Hyundai Eon,46.61k km,Petrol,Manual,3rd,814cc,₹1.76 lakh,https://www.cars24.com/buy-used-hyundai-eon-2013-cars-hyderabad-10483109716/
2014 Maruti Alto 800,72.11k km,Petrol,Manual,2nd,796cc,₹2.12 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-hyderabad-10416105792/
2015 Maruti Wagon R 1.0,44.48k km,Petrol,Manual,1st,998cc,₹3.37 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-hyderabad-10494604775/
2018 Tata Tiago,75.34k km,Petrol,,1st,1199cc,₹4.46 lakh,https://www.cars24.com/buy-used-tata-tiago-2018-cars-hyderabad-10436101777/
2012 Hyundai i20,69.74k km,Petrol,Manual,2nd,1197cc,₹2.63 lakh,https://www.cars24.com/buy-used-hyundai-i20-2012-cars-hyderabad-17215148729/
2022 KIA CARENS,53.39k km,Diesel,Manual,1st,1493cc,₹14.42 lakh,https://www.cars24.com/buy-used-kia-carens-2022-cars-hyderabad-10460043700/
2014 Maruti Swift Dzire,79.60k km,Petrol,Manual,1st,1197cc,₹3.71 lakh,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-hyderabad-10448705777/
2018 Hyundai Eon,1.0L km,Petrol,Manual,2nd,814cc,₹1.89 lakh,https://www.cars24.com/buy-used-hyundai-eon-2018-cars-hyderabad-10482640788/
2019 Tata Tiago,27.83k km,Petrol,Manual,1st,1199cc,₹4.31 lakh,https://www.cars24.com/buy-used-tata-tiago-2019-cars-hyderabad-10460339747/
2019 Tata NEXON,52.56k km,Petrol,Manual,1st,1198cc,₹5.97 lakh,https://www.cars24.com/buy-used-tata-nexon-2019-cars-hyderabad-10460101774/
2021 Renault TRIBER,48.52k km,Petrol,Manual,1st,999cc,₹5.04 lakh,https://www.cars24.com/buy-used-renault-triber-2021-cars-hyderabad-10434905774/
2019 Renault Kwid,76.21k km,Petrol,Manual,1st,,₹3.20 lakh,https://www.cars24.com/buy-used-renault-kwid-2019-cars-hyderabad-10402642743/
2020 Maruti Dzire,29.54k km,Petrol,,1st,1197cc,₹6.29 lakh,https://www.cars24.com/buy-used-maruti-dzire-2020-cars-hyderabad-10467906711/
2018 Maruti Alto K10,84.66k km,Petrol,,1st,998cc,₹3.10 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2018-cars-hyderabad-10463003716/
2013 Maruti Alto 800,72.96k km,Petrol,Manual,2nd,796cc,₹1.41 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2013-cars-hyderabad-10475142742/
2015 Hyundai Grand i10,1.1L km,Petrol,Manual,1st,1197cc,₹3.76 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-hyderabad-10471509712/
2022 Renault Kiger,72.94k km,Petrol,Manual,1st,999cc,₹6.45 lakh,https://www.cars24.com/buy-used-renault-kiger-2022-cars-hyderabad-10423901770/
2018 Volkswagen TIGUAN,67.93k km,Diesel,,1st,1968cc,₹16.84 lakh,https://www.cars24.com/buy-used-volkswagen-tiguan-2018-cars-hyderabad-10442106771/
2022 Tata Tiago,50.18k km,CNG,Manual,1st,1199cc,₹5.84 lakh,https://www.cars24.com/buy-used-tata-tiago-2022-cars-hyderabad-10453507771/
2019 Datsun Redi Go,49.02k km,Petrol,Manual,2nd,799cc,₹1.91 lakh,https://www.cars24.com/buy-used-datsun-redi-go-2019-cars-hyderabad-10481948708/
2023 Maruti Swift,17.84k km,Petrol,,1st,1197cc,₹8.41 lakh,https://www.cars24.com/buy-used-maruti-swift-2023-cars-hyderabad-10458706774/
2017 Tata Hexa,82.49k km,Diesel,Manual,2nd,2179cc,₹8.53 lakh,https://www.cars24.com/buy-used-tata-hexa-2017-cars-hyderabad-10440205777/
2022 Maruti Swift,39.78k km,Petrol,Manual,1st,1197cc,₹6.58 lakh,https://www.cars24.com/buy-used-maruti-swift-2022-cars-hyderabad-10471806711/
2018 Maruti Baleno,75.18k km,Petrol,,2nd,1197cc,₹5.48 lakh,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-hyderabad-10486108797/
2015 Maruti Swift Dzire,56.03k km,Petrol,Manual,1st,1197cc,₹4.26 lakh,https://www.cars24.com/buy-used-maruti-swift-dzire-2015-cars-hyderabad-10431709775/
2020 Skoda Rapid,97.49k km,Petrol,Manual,1st,999cc,₹4.99 lakh,https://www.cars24.com/buy-used-skoda-rapid-2020-cars-hyderabad-10417543711/
2021 Nissan MAGNITE,30.28k km,Petrol,Manual,1st,999cc,₹6.17 lakh,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-hyderabad-10479604712/
2019 KIA SELTOS,68.35k km,Petrol,Manual,1st,,₹10.92 lakh,https://www.cars24.com/buy-used-kia-seltos-2019-cars-hyderabad-10437806718/
2018 Hyundai Verna,20.49k km,Petrol,Manual,1st,1591cc,₹7.44 lakh,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-hyderabad-10412401799/
2018 Volkswagen Polo,81.26k km,Diesel,Manual,1st,1498cc,₹6.23 lakh,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-hyderabad-10481242789/
2015 Maruti Alto K10,1.1L km,Petrol,Manual,2nd,998cc,₹1.97 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-hyderabad-10416347765/
2015 Hyundai Grand i10,1.0L km,Petrol,Manual,3rd,1197cc,₹3.64 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-hyderabad-10464443701/
2022 Tata NEXON,56.04k km,Petrol,Manual,1st,1199cc,₹8.40 lakh,https://www.cars24.com/buy-used-tata-nexon-2022-cars-hyderabad-10432644760/
2019 Renault Duster,1.1L km,Diesel,,2nd,,₹7.11 lakh,https://www.cars24.com/buy-used-renault-duster-2019-cars-hyderabad-10480501777/
2017 Hyundai Grand i10,1.1L km,Petrol,,1st,1197cc,₹4.03 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-hyderabad-10484604771/
2024 Maruti XL6,34.88k km,CNG,Manual,1st,1462cc,₹12.09 lakh,https://www.cars24.com/buy-used-maruti-xl6-2024-cars-hyderabad-10429300711/
2020 Hyundai VENUE,75.06k km,Petrol,Manual,2nd,998cc,₹7.52 lakh,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-hyderabad-10457106712/
2018 Volkswagen Polo,1.2L km,Petrol,Manual,1st,999cc,₹4.67 lakh,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-hyderabad-10470540752/
2020 Hyundai GRAND I10 NIOS,37.97k km,Petrol,,2nd,1197cc,₹6.16 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-hyderabad-10401901712/
2022 Skoda KUSHAQ,25.65k km,Petrol,Manual,1st,1498cc,₹14.08 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2022-cars-hyderabad-10472608792/
2022 Maruti New Wagon-R,32.09k km,Petrol,,2nd,1197cc,₹5.05 lakh,https://www.cars24.com/buy-used-maruti-new-wagon-r-2022-cars-hyderabad-10495246722/
2018 Tata NEXON,96.18k km,Diesel,Manual,2nd,1497cc,₹5.21 lakh,https://www.cars24.com/buy-used-tata-nexon-2018-cars-hyderabad-10408948713/
2023 Hyundai NEW I20,32.83k km,Petrol,,1st,,₹7.13 lakh,https://www.cars24.com/buy-used-hyundai-new-i20-2023-cars-hyderabad-10449943793/
2020 Tata Harrier,75.54k km,Diesel,Manual,1st,1956cc,₹9.99 lakh,https://www.cars24.com/buy-used-tata-harrier-2020-cars-hyderabad-10435140709/
2018 Tata NEXON,39.13k km,Petrol,Manual,1st,1198cc,₹5.72 lakh,https://www.cars24.com/buy-used-tata-nexon-2018-cars-hyderabad-10444606776/
2013 Honda Amaze,60.41k km,CNG,Manual,3rd,1198cc,₹2.90 lakh,https://www.cars24.com/buy-used-honda-amaze-2013-cars-hyderabad-10464146748/
2019 Tata Tiago,26.25k km,Petrol,Manual,2nd,1199cc,₹4.53 lakh,https://www.cars24.com/buy-used-tata-tiago-2019-cars-hyderabad-10490049769/
2015 Nissan Micra Active,66.78k km,Petrol,Manual,2nd,1198cc,₹2.48 lakh,https://www.cars24.com/buy-used-nissan-micra-active-2015-cars-hyderabad-10432641732/
2022 Nissan MAGNITE,33.01k km,Petrol,Manual,1st,999cc,₹6.60 lakh,https://www.cars24.com/buy-used-nissan-magnite-2022-cars-hyderabad-10415343733/
2023 Renault TRIBER,21.98k km,Petrol,Manual,1st,999cc,₹5.56 lakh,https://www.cars24.com/buy-used-renault-triber-2023-cars-hyderabad-10409740715/
2017 Hyundai Elite i20,54.09k km,Petrol,Manual,2nd,1197cc,₹4.58 lakh,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-hyderabad-10467004710/
2020 Honda Jazz,53.78k km,Petrol,,1st,1199cc,₹7.48 lakh,https://www.cars24.com/buy-used-honda-jazz-2020-cars-hyderabad-10472707714/
2021 Maruti Dzire,53.49k km,Petrol,Manual,1st,1197cc,₹5.97 lakh,https://www.cars24.com/buy-used-maruti-dzire-2021-cars-hyderabad-10449146721/
2024 Tata NEXON,22.29k km,Petrol,Manual,1st,1199cc,₹8.22 lakh,https://www.cars24.com/buy-used-tata-nexon-2024-cars-hyderabad-10444400795/
2023 Renault Kiger,62.81k km,Petrol,Manual,1st,999cc,₹6.05 lakh,https://www.cars24.com/buy-used-renault-kiger-2023-cars-hyderabad-10416040783/
2022 Renault Kiger,49.53k km,Petrol,Manual,1st,999cc,₹5.42 lakh,https://www.cars24.com/buy-used-renault-kiger-2022-cars-hyderabad-10418306778/
2024 Hyundai EXTER,12.67k km,Petrol,Manual,1st,1197cc,₹8.87 lakh,https://www.cars24.com/buy-used-hyundai-exter-2024-cars-hyderabad-10400001778/
2017 Maruti Wagon R 1.0,1.1L km,Petrol,Manual,1st,998cc,₹3.00 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-hyderabad-10411040749/
2021 Renault TRIBER,67.84k km,Petrol,Manual,1st,999cc,₹4.55 lakh,https://www.cars24.com/buy-used-renault-triber-2021-cars-hyderabad-10468641761/
2022 Hyundai VENUE,19.21k km,Petrol,Manual,1st,1197cc,₹8.25 lakh,https://www.cars24.com/buy-used-hyundai-venue-2022-cars-hyderabad-10474845709/
2021 Toyota Glanza,1.2L km,Petrol,Manual,1st,1197cc,₹6.13 lakh,https://www.cars24.com/buy-used-toyota-glanza-2021-cars-hyderabad-10440548731/
2019 Maruti XL6,91.33k km,Petrol,Manual,1st,1462cc,₹7.76 lakh,https://www.cars24.com/buy-used-maruti-xl6-2019-cars-hyderabad-10429004719/
2018 Renault Kwid,32.75k km,Petrol,,2nd,999cc,₹2.98 lakh,https://www.cars24.com/buy-used-renault-kwid-2018-cars-hyderabad-10445600799/
2021 Tata ALTROZ,45.52k km,Petrol,Manual,1st,1199cc,₹5.31 lakh,https://www.cars24.com/buy-used-tata-altroz-2021-cars-hyderabad-10406742789/
2018 Tata Tiago,46.16k km,Petrol,Manual,2nd,1199cc,₹3.98 lakh,https://www.cars24.com/buy-used-tata-tiago-2018-cars-hyderabad-10420607775/
2022 Maruti Swift,49.53k km,Petrol,,1st,1197cc,₹5.82 lakh,https://www.cars24.com/buy-used-maruti-swift-2022-cars-hyderabad-10462843785/
2016 Maruti Ciaz,70.37k km,Diesel,Manual,1st,1248cc,₹5.88 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2016-cars-hyderabad-10475100775/
2023 Volkswagen VIRTUS,30.57k km,Petrol,Manual,1st,999cc,₹10.88 lakh,https://www.cars24.com/buy-used-volkswagen-virtus-2023-cars-hyderabad-10491445722/
2018 Jeep Compass,94.12k km,Diesel,Manual,1st,1956cc,₹8.85 lakh,https://www.cars24.com/buy-used-jeep-compass-2018-cars-hyderabad-10441049767/
2020 MG HECTOR,86.18k km,Diesel,Manual,2nd,1956cc,₹10.50 lakh,https://www.cars24.com/buy-used-mg-hector-2020-cars-hyderabad-10458948728/
2021 Honda City,90.65k km,Petrol,Manual,1st,1498cc,₹7.90 lakh,https://www.cars24.com/buy-used-honda-city-2021-cars-hyderabad-10421642724/
2016 Hyundai Grand i10,1.1L km,Petrol,Manual,2nd,1197cc,₹3.64 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-hyderabad-10418044706/
2012 Maruti Wagon R 1.0,1.0L km,Petrol,Manual,1st,998cc,₹1.98 lakh,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2012-cars-hyderabad-10403940727/
2019 Hyundai i20 Active,93.19k km,Petrol,Manual,1st,1197cc,₹6.61 lakh,https://www.cars24.com/buy-used-hyundai-i20-active-2019-cars-hyderabad-10479203773/
2018 Honda City,49.53k km,Petrol,,1st,1497cc,₹7.10 lakh,https://www.cars24.com/buy-used-honda-city-2018-cars-hyderabad-10438501791/
2019 Honda City,50.97k km,Petrol,Manual,1st,1497cc,₹7.75 lakh,https://www.cars24.com/buy-used-honda-city-2019-cars-hyderabad-11346446769/
2020 Maruti Baleno,67.25k km,Petrol,Manual,2nd,1197cc,₹5.39 lakh,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-hyderabad-10462840774/
2021 Skoda Rapid,61.79k km,Petrol,,2nd,999cc,₹6.99 lakh,https://www.cars24.com/buy-used-skoda-rapid-2021-cars-hyderabad-10425246733/
2022 Honda City,86.20k km,Petrol,,1st,1497cc,₹7.91 lakh,https://www.cars24.com/buy-used-honda-city-2022-cars-hyderabad-10433648705/
2016 Maruti Swift,35.35k km,Petrol,Manual,1st,1197cc,₹4.88 lakh,https://www.cars24.com/buy-used-maruti-swift-2016-cars-hyderabad-10471904796/
2022 Renault Kiger,47.79k km,Petrol,Manual,1st,999cc,₹5.46 lakh,https://www.cars24.com/buy-used-renault-kiger-2022-cars-hyderabad-10470848706/
2021 Maruti Vitara Brezza,67.67k km,Petrol,Manual,1st,1462cc,₹7.07 lakh,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-hyderabad-10407542741/
2022 Maruti New Wagon-R,1.1L km,Petrol,Manual,1st,,₹4.37 lakh,https://www.cars24.com/buy-used-maruti-new-wagon-r-2022-cars-hyderabad-10497549707/
2018 Renault Kwid,80.03k km,Petrol,Manual,1st,999cc,₹2.80 lakh,https://www.cars24.com/buy-used-renault-kwid-2018-cars-hyderabad-10417048762/
2020 Ford Ecosport,1.3L km,Diesel,Manual,1st,1498cc,₹7.61 lakh,https://www.cars24.com/buy-used-ford-ecosport-2020-cars-hyderabad-10442400793/
2021 Datsun Redi Go,41.66k km,Petrol,,2nd,999cc,₹3.38 lakh,https://www.cars24.com/buy-used-datsun-redi-go-2021-cars-hyderabad-10488504798/
2019 Tata Tiago,32.25k km,Petrol,Manual,2nd,1199cc,₹4.48 lakh,https://www.cars24.com/buy-used-tata-tiago-2019-cars-hyderabad-10432648766/
2022 Renault Kiger,44.36k km,Petrol,Manual,1st,999cc,₹5.81 lakh,https://www.cars24.com/buy-used-renault-kiger-2022-cars-hyderabad-10472141732/
2022 Maruti Swift,66.67k km,Petrol,Manual,1st,1197cc,₹5.81 lakh,https://www.cars24.com/buy-used-maruti-swift-2022-cars-hyderabad-10441349769/
2022 Hyundai GRAND I10 NIOS,70.16k km,Petrol,Manual,1st,1197cc,₹5.38 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2022-cars-hyderabad-10460947725/
2019 Datsun Redi Go,56.84k km,Petrol,Manual,1st,799cc,₹2.32 lakh,https://www.cars24.com/buy-used-datsun-redi-go-2019-cars-hyderabad-10470643768/
2018 Maruti Swift,92.24k km,Diesel,,1st,1248cc,₹5.45 lakh,https://www.cars24.com/buy-used-maruti-swift-2018-cars-hyderabad-10486544730/
2021 Tata Harrier,41.33k km,Diesel,,1st,1956cc,₹14.40 lakh,https://www.cars24.com/buy-used-tata-harrier-2021-cars-hyderabad-10448549742/
2021 Skoda KUSHAQ,55.03k km,Petrol,Manual,1st,999cc,₹8.23 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-hyderabad-10459346743/
2013 Maruti Swift Dzire,1.2L km,Petrol,Manual,2nd,1197cc,₹2.98 lakh,https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-hyderabad-10465749704/
2017 Maruti Celerio,77.65k km,Petrol,,1st,,₹3.54 lakh,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-hyderabad-10447540704/
2013 Skoda Rapid,1.2L km,Diesel,Manual,1st,1598cc,₹2.99 lakh,https://www.cars24.com/buy-used-skoda-rapid-2013-cars-hyderabad-10427448706/
2016 Maruti Alto 800,67.73k km,Petrol,Manual,2nd,796cc,₹2.15 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-hyderabad-10472401799/
2023 Renault TRIBER,18.63k km,Petrol,Manual,1st,999cc,₹5.89 lakh,https://www.cars24.com/buy-used-renault-triber-2023-cars-hyderabad-10439346727/
2017 Honda BR-V,56.61k km,Petrol,Manual,1st,1497cc,₹5.73 lakh,https://www.cars24.com/buy-used-honda-br-v-2017-cars-hyderabad-10449349767/
2020 Renault Kwid,32.79k km,Petrol,Manual,1st,999cc,₹3.59 lakh,https://www.cars24.com/buy-used-renault-kwid-2020-cars-hyderabad-10499440763/
2021 Hyundai NEW I20,36.90k km,Petrol,,1st,1197cc,₹7.25 lakh,https://www.cars24.com/buy-used-hyundai-new-i20-2021-cars-hyderabad-10463343703/
2015 Renault Duster,1.1L km,Diesel,Manual,2nd,1461cc,₹3.71 lakh,https://www.cars24.com/buy-used-renault-duster-2015-cars-hyderabad-10483641764/
2020 Maruti S PRESSO,73.63k km,Petrol,Manual,1st,998cc,₹3.33 lakh,https://www.cars24.com/buy-used-maruti-s-presso-2020-cars-hyderabad-10497444764/
2017 Volkswagen Ameo,90.22k km,Petrol,Manual,3rd,1198cc,₹3.98 lakh,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-hyderabad-10443406796/
2023 Maruti BREZZA,27.14k km,Petrol,Manual,1st,1462cc,₹8.43 lakh,https://www.cars24.com/buy-used-maruti-brezza-2023-cars-hyderabad-10486908772/
2021 Hyundai GRAND I10 NIOS,1.1L km,Petrol,Manual,1st,1197cc,₹4.60 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2021-cars-hyderabad-10473842789/
2021 Renault Kiger,99.70k km,Petrol,Manual,1st,999cc,₹4.72 lakh,https://www.cars24.com/buy-used-renault-kiger-2021-cars-hyderabad-10468602796/
2020 Renault TRIBER,23.84k km,Petrol,Manual,1st,999cc,₹4.77 lakh,https://www.cars24.com/buy-used-renault-triber-2020-cars-hyderabad-10444249722/
2015 Honda City,77.39k km,Petrol,,1st,1497cc,₹4.84 lakh,https://www.cars24.com/buy-used-honda-city-2015-cars-hyderabad-10401349767/
2017 Maruti Dzire,79.53k km,Diesel,Manual,1st,1248cc,₹6.87 lakh,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-hyderabad-10450007798/
2021 Skoda KUSHAQ,51.62k km,Petrol,Manual,1st,999cc,₹9.95 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-hyderabad-10481840708/
2015 Honda Brio,42.26k km,Petrol,,1st,1198cc,₹3.88 lakh,https://www.cars24.com/buy-used-honda-brio-2015-cars-hyderabad-10431308794/
2020 KIA SELTOS,85.15k km,Diesel,Manual,1st,1493cc,₹8.50 lakh,https://www.cars24.com/buy-used-kia-seltos-2020-cars-hyderabad-10499242775/
2014 Datsun Go,60.48k km,Petrol,Manual,2nd,1198cc,₹1.96 lakh,https://www.cars24.com/buy-used-datsun-go-2014-cars-hyderabad-10438542702/
2019 Hyundai NEW SANTRO,83.09k km,Petrol,,2nd,1086cc,₹3.95 lakh,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-hyderabad-10490528709/
2019 Maruti Baleno,53.37k km,Petrol,Manual,1st,1197cc,₹5.05 lakh,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-hyderabad-10441801774/
2021 Renault Kiger,24.15k km,Petrol,Manual,1st,999cc,₹5.57 lakh,https://www.cars24.com/buy-used-renault-kiger-2021-cars-hyderabad-10453240741/
2021 Toyota YARIS,32.78k km,Petrol,Manual,1st,1496cc,₹7.11 lakh,https://www.cars24.com/buy-used-toyota-yaris-2021-cars-hyderabad-10407242740/
2015 Hyundai Elite i20,65.66k km,Petrol,Manual,1st,1197cc,₹4.52 lakh,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-hyderabad-10405940709/
2021 Jeep Compass,57.77k km,Diesel,Manual,1st,1956cc,₹15.43 lakh,https://www.cars24.com/buy-used-jeep-compass-2021-cars-hyderabad-10459647751/
2013 Hyundai Santro Xing,78.49k km,Petrol,Manual,2nd,1086cc,₹1.99 lakh,https://www.cars24.com/buy-used-hyundai-santro-xing-2013-cars-hyderabad-10482544765/
2017 Maruti Alto K10,91.42k km,Petrol,,3rd,998cc,₹2.55 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-hyderabad-10490941703/
